Afghanistan,note - the Ministry of Justice licensed 84 political parties as of December 2012
Thailand,"Chat Pattana Party or CPN (Nation Development Party) [WANNARAT Channukul] 
      
      Chat Thai Phattana Party or CTP (Thai Nation Development Party) [THEERA Wongsamut] 
      
      Mahachon Party or Mass Party [APHIRAT Sirinawin] 
      
      Matubhum Party (Motherland Party) [ Gen. SONTHI Bunyaratkalin] 
      
      Phalang Chon Party (People Chonburi Power Party) [SONTHAYA Khunpluem] 
      
      Phumjai (Bhumjai) Thai Party or PJT (Thai Pride) [ANUTIN Charnvirakul] 
      
      Prachathipat Party or DP (Democrat Party) [ABHISIT Wechachiwa, also spelled ABHISIT Vejjajiva] 
      
      Prachathipathai Mai Party (New Democracy Party) [SURATIN Phijarn] 
      
      Puea Thai Party (For Thais Party) or PTP [CHARUPHONG Rueangsuwan also spelled JARUPONG Ruangsuwan] 
      
      Rak Prathet Thai Party (Love Thailand Party) [CHUWIT Kamonwisit] 
      
      Rak Santi Party (Peace Conservation Party) [Pol. Lt. Gen. THAWIL Surachetphong]"
Timor-Leste,"Democratic Party or PD [Fernando ""Lasama"" de ARAUJO] 
      
      Frenti-Mudanca [Jose Luis GUTERRES] 
      
      National Congress for Timorese Reconstruction or CNRT [Kay Rala Xanana GUSMAO] 
      
      Revolutionary Front of Independent Timor-Leste or FRETILIN [Mari ALKATIRI] 
      
      (only parties in Parliament are listed)"
Togo,"Action Committee for Renewal or CAR [Dodji APEVON] 
      
      Democratic Convention of African Peoples or CDPA 
      
      Movement of the Believers of Peace and Equality or MOCEP 
      
      National Alliance for Change or ANC [Jean-Pierre FABRE] 
      
      Pan-African Patriotic Convergence or CPP [Edem KODJO] 
      
      Rainbow Alliance (a colalition including: CAR and CDPA) [Brigitte Adjamagbo JOHNSON] 
      
      Rally for the Support for Development and Democracy or RSDD [Harry OLYMPIO] 
      
      Save Togo Collective or CST (a coalition including: ANC and PSR) [Ata Messan Zeus AJAVON 
      
      Socialist Pact for Renewal or PSR 
      
      Union for Democracy and Social Progress or UDPS [Gagou KOKOU] 
      
      Union for the Republic or UNIR [Faure GNASSINGBE] 
      
      Union of Forces for Change or UFC [Gilchrist OLYMPIO]"
Tokelau,none
Tonga,"Democratic Party of the Friendly Islands [Samuela 'Akilisi POHIVA] 
      
      People's Democratic Party or PDP [Tesina FUKO] 
      
      Sustainable Nation-Building Party [Sione FONUA] 
      
      Tonga Democratic Labor Party [NA] 
      
      Tonga Human Rights and Democracy Movement or THRDM [NA]"
Trinidad and Tobago,"Congress of the People or COP [Prakash RAMADHAR] 
      
      Democratic Action Congress or DAC [Hochoy CHARLES] (only active in Tobago) 
      
      Democratic National Alliance or DNA [Charles CARSON] (coalition of NAR, DDPT, MND) 
      
      Movement for National Development or MND [Garvin NICHOLAS] 
      
      National Alliance for Reconstruction or NAR [Lennox SANKERSINGH] 
      
      People's National Movement or PNM [Keith ROWLEY] 
      
      Tobago Organization of the People or TOP [Ashworth JACK] 
      
      United National Congress or UNC [Kamla PERSAD-BISSESSAR]"
Tunisia,"Afek Tounes [Emna MINF] 
      
      Alliance for Tunisia (a coalition of Tunisia's Call [Beji Caid ESSEBSI], Republican Party [Maya JRIBI and Najib CHBBI],Democratic Path [Ahmed BRAHIM]) 
      
      al-Nahda (The Renaissance) [Rachid GHANNOUCHI] 
      
      Congress Party for the Republic or CPR [Moncef MARZOUKI] 
      
      Democratic Forum for Labor and Liberties or FDTL (Ettakatol) [Mustapha Ben JAAFAR] 
      
      Democratic Modernist Pole or PDM (a coalition) 
      
      Democratic Socialist Movement or MDS 
      
      Et-Tajdid Movement [Ahmed IBRAHIM] 
      
      Green Party for Progress or PVP [Mongi KHAMASSI] 
      
      Liberal Social Party or PSL [Mondher THABET] 
      
      Movement of Socialist Democrats or MDS [Ismail BOULAHYA] 
      
      Popular Petition (Aridha Chaabia) [Hachemi HAMDI] 
      
      Popular Unity Party or PUP [Mohamed BOUCHIHA] 
      
      Progressive Democratic Party or PDP [Maya JERIBI] 
      
      The Initiative [Kamel MORJANE] (formerly the Constitutional Democratic Rally or RCD) 
      
      Tunisian Workers' Communist Party or PCOT [Hamma HAMMAMI] 
      
      Unionist Democratic Union or UDU [Ahmed INOUBLI]"
Turkey,"Democratic Left Party or DSP [Masum TURKER] 
      
      Democratic Party or DP [Gultekin UYSAL] 
      
      Felicity Party or SP [Mustafa KAMALAK] (sometimes translated as Contentment Party) 
      
      Freedom and Solidarity Party or ODP [Alper TAS] 
      
      Grand Unity Party or BBP [Mustafa DESTICI] 
      
      Independent Turkey Party or BTP [Haydar BAS] 
      
      Justice and Development Party or AKP [Recep Tayyip ERDOGAN] 
      
      Nationalist Movement Party or MHP [Devlet BAHCELI] 
      
      Peace and Democracy Party or BDP [Selahattin DEMIRTAS] 
      
      People's Democracy Party or HDP [Sebahat TUNCEL] 
      
      Republican People's Party or CHP [Kemal KILICDAROGLU] 
      
      
      
      
        note: the parties listed above are some of the more significant of the 61 parties that Turkey had according to the Ministry of Interior statistics current as of May 2009"
Turkmenistan,"Democratic Party of Turkmenistan or DPT [Kasymguly BABAYEW] 
      
      Party of Industrialists and Entrepreneurs or PIE [Orazmammet MAMMEDOW] (party registered 21 August 2012) 
      
      
        note: a law authorizing the registration of political parties went into effect in January 2012; unofficial, small opposition movements exist abroad; the three most prominent opposition groups-in-exile are the National Democratic Movement of Turkmenistan (NDMT), the Republican Party of Turkmenistan, and the Watan (Fatherland) Party; the NDMT was led by former Foreign Minister Boris SHIKHMURADOV until his arrest and imprisonment in the wake of the 25 November 2002 attack on President NYYAZOW's motorcade"
Turks and Caicos Islands,"People's Democratic Movement or PDM [Oswald SKIPPINGS] 
      
      People's Progressive Party [NA] 
      
      Progressive National Party or PNP [Rufus EWING]"
Tuvalu,there are no political parties but members of parliament usually align themselves in informal groupings
Uganda,"Conservative Party or CP [Ken LUKYAMUZI] 
      
      Democratic Party or DP [Norbert MAO] 
      
      Forum for Democratic Change or FDC [Muntu MUGISHA] 
      
      Inter-Party Co-operation or IPC (a coalition of opposition groups) 
      
      Justice Forum or JEEMA [Asuman BASALIRWA] 
      
      National Resistance Movement or NRM [Yoweri MUSEVENI] 
      
      Peoples Progressive Party or PPP [Bidandi SSALI] 
      
      Ugandan People's Congress or UPC [Olara OTUNNU] 
      
      
      
      
        note: a national referendum in July 2005 opened the way for Uganda's transition to a multi-party political system"
Ukraine,"Batkivshchyna (""Fatherland"") [Yuliya TYMOSHENKO] 
      
      Communist Party of Ukraine or CPU [Petro SYMONENKO] 
      
      Party of Regions [vacant] 
      
      People's Movement of Ukraine (Rukh) [Borys TARASYUK] 
      
      People's Party [Volodymyr LYTVYN] 
      
      Radical Party [Oleh LYASHKO] 
      
      Socialist Party of Ukraine or SPU [Oleksandr MOROZ] 
      
      Svoboda (""Freedom"") [Oleh TYAHNYBOK] 
      
      Ukrainian Democratic Alliance for Reforms or UDAR [Vitaliy KLYCHKO] 
      
      Union [Lev MIRIMSKY] 
      
      United Center [Viktor BALOHA]"
United Arab Emirates,none; political parties are not allowed
United Kingdom,"Conservative [David CAMERON] 
      
      Alliance Party (Northerm Ireland) [David FORD] 
      
      Democratic Unionist Party or DUP (Northern Ireland) [Peter ROBINSON] 
      
      Labor Party [Ed MILIBAND] 
      
      Liberal Democrats (Lib Dems) [Nick CLEGG] 
      
      Party of Wales (Plaid Cymru) [Leanne WOOD] 
      
      Scottish National Party or SNP [Alex SALMOND] 
      
      Sinn Fein (Northern Ireland) [Gerry ADAMS] 
      
      Social Democratic and Labor Party or SDLP (Northern Ireland) [Alasdair MCDONNELL] 
      
      Ulster Unionist Party (Northern Ireland) [Mike NESBITT] 
      
      United Kingdom Independent Party or UKIP [Nigel FARAGE]"
United States,"Democratic Party [Debbie Wasserman SCHULTZ] 
      
      Green Party 
      
      Libertarian Party [Mark HINKLE] 
      
      Republican Party [Reince PRIEBUS]"
Uruguay,"Broad Front (Frente Amplio) - formerly known as the Progressive Encounter/Broad Front Coalition or EP-FA [Monica XAVIER] (a broad governing coalition that includes Popular Participation Movement (MPP), New Space Party (Nuevo Espacio) [Rafael MICHELINI], Progressive Alliance (Alianza Progresista) [Rodolfo NIN NOVOA], Socialist Party [vacant], Communist Party [Eduardo LORIER], Uruguayan Assembly (Asamblea Uruguay) [Danilo ASTORI Saragoza], and Vertiente Artiguista [Enrique RUBIO]) 
      
      Colorado Party (Vamos Uruguay) [Martha MONTANER] 
      
      Independent Party [Pablo MIERES] 
      
      National Party or Blanco [Luis Alberto HEBER]"
Uzbekistan,"Ecological Movement of Uzbekistan (O'zbekiston Ekologik Harakati) [Boriy ALIXONOV] 
      
      Justice (Adolat) Social Democratic Party of Uzbekistan [Narimon UMAROV] 
      
      Liberal Democratic Party of Uzbekistan (O'zbekiston Liberal-Demokratik Partiyasi) or LDPU [Sodiqjon TURDIYEV] 
      
      National Rebirth Democratic Party of Uzbekistan (Milliy Tiklanish) [Sarvar OTAMURATOV] 
      
      People's Democratic Party of Uzbekistan (Xalq Demokratik Partiyas) or NDP [Hotamjon KETMONOV] (formerly Communist Party)"
Vanuatu,"Greens Confederation or GC [Moana CARCASSES Kalosil] 
      
      Iauko Group or IG [NA] 
      
      Land and Justice Party (Graon mo Jastis Pati) or GJP [Ralph REGENVANU] 
      
      Melanesian Progressive Party or MPP [Barak SOPE] 
      
      Nagriamel movement or NAG [NA] 
      
      Natatok Indigenous People's Democratic Party or (NATATOK) or NIPDP [Alfred Roland CARLOT] 
      
      National United Party or NUP [Ham LINI] 
      
      People's Progressive Party or PPP [Sato KILMAN] 
      
      People's Service Party or PSP [Don KEN] 
      
      Reunification of Movement for Change or RMC [Charlot SALWAI] 
      
      Union of Moderate Parties or UMP [Serge VOHOR] 
      
      Vanua'aku Pati (Our Land Party) or VP [Edward NATAPEI] 
      
      Vanuatu Democratic Party [Maxime Carlot KORMAN] 
      
      Vanuatu Liberal Democratic Party or VLDP [Tapangararua WILLIE] 
      
      Vanuatu National Party or VNP [Issac HAMARILIU] 
      
      Vanuatu Progressive Development Party or VPDP [Robert Bohn SIKOL] 
      
      Vanuatu Republican Party or VRP [Marcellino PIPITE]"
Venezuela,"A New Time or UNT [Omar BARBOZA] 
      
      Brave People's Alliance or ABP [Antonio LEDEZMA] 
      
      Christian Democrats or COPEI [Roberto ENRIQUEZ] 
      
      Coalition of opposition parties -- The Democratic Unity Table or MUD [Ramon Guillermo AVELEDO] 
      
      Communist Party of Venezuela or PCV [Oscar FIGUERA] 
      
      Democratic Action or AD [Henry RAMOS ALLUP] 
      
      Fatherland for All or PPT [Rafael UZCATEGUI] 
      
      For Social Democracy or PODEMOS [Ismael GARCIA] 
      
      Justice First or PJ [Julio BORGES] 
      
      Movement Toward Socialism or MAS [Nicolas SOSA] 
      
      Popular Will or VP [Leopoldo LOPEZ] 
      
      Progressive Wave or AP [Henri FALCON] 
      
      The Radical Cause [Daniel SANTOLO] 
      
      United Socialist Party of Venezuela or PSUV [Nicolas MADURO] 
      
      Venezuelan Progressive Movement or MPV [Simon CALZADILLA] 
      
      Venezuela Project or PV [Henrique SALAS ROMER]"
Vietnam,"Communist Party of Vietnam or CPV [Nguyen Phu TRONG] 
      
      
      
      
        note: other parties proscribed"
Virgin Islands,"Democratic Party [Arturo WATLINGTON] 
      
      Independent Citizens' Movement or ICM [Usie RICHARDS] 
      
      Republican Party [Gary SPRAUVE]"
Wallis and Futuna,"Lua Kae Tahi (Giscardians) 
      
      Mouvement des Radicaux de Gauche or MRG 
      
      Rally for the Republic or RPR (UMP) 
      
      Socialist Party or PS 
      
      Taumu'a Lelei 
      
      Union Populaire Locale or UPL 
      
      Union Pour la Democratie Francaise or UDF"
Yemen,"General People's Congress or GPC [Ali Abdallah SALIH, Abd Rabuh Mansur HADI] 
      
      Islamic Reform Grouping or Islah [Muhammed Abdallah al-YADUMI, Abdul Wahab al-ANSI] 
      
      Nasserite Unionist Party [Sultan al-ATWANI] 
      
      Yemeni Socialist Party or YSP [Yasin Said NU'MAN] 
      
      
      
      
        note: there are at least seven more active political parties"
Zambia,"Alliance for Democracy and Development or ADD [Charles MILUPI] 
      
      Alliance for a Better Zambia or ABZ [Frank BWALYA] 
      
      Christian Democratic Party or CDP [Daniel PULE] 
      
      Forum for Democracy and Development or FDD [Edith NAWAKWI] 
      
      Heritage Party or HP [Godfrey MIYANDA] 
      
      Movement for Multiparty Democracy or MMD [Nevers MUMBA] 
      
      National Restoration Party or NAREP [Elias CHIPIMO] 
      
      National Revolution Party or NRP [Cosmo MUMBA] 
      
      Party of Unity for Democracy and Development or PUDD [Dan PULE] 
      
      Patriotic Front or PF [Michael SATA] 
      
      Republican Progressive Party or RPP [James LUKUKU] 
      
      United National Independence Party or UNIP [Tilyenji KAUNDA] 
      
      United Party for National Development or UPND [Hakainde HICHILEMA]"
Zimbabwe,"African National Party or ANP [Egypt DZINEMUNHENZVA] 
      
      Movement for Democratic Change - Tsvangirai or MDC-T [Morgan TSVANGIRAI] 
      
      Movement for Democratic Change - Ncube or MDC-N [Welshman NCUBE] 
      
      Peace Action is Freedom for All or PAFA 
      
      United Parties [Abel MUZOREWA] 
      
      United People's Party or UPP [Daniel SHUMBA] 
      
      Zimbabwe African National Union-Ndonga or ZANU-Ndonga [Wilson KUMBULA] 
      
      Zimbabwe African National Union-Patriotic Front or ZANU-PF [Robert Gabriel MUGABE] 
      
      Zimbabwe African Peoples Union or ZAPU [Dumiso DABENGWA] 
      
      Zimbabwe Youth in Alliance or ZIYA"
